Amount,Category,Clean Vendor,Description/Memo,Transaction Date,category,standardized_vendor
2614.96,Office Supplies & Equipment,Costco,Team lunch,2023-07-15,Office Supplies & Equipment,Costco
10.33,Travel & Transportation,Uber,Hardware services,2023-11-28,Travel & Transportation,Uber
23.17,Utilities & Rent,Comcast,Monthly subscription,2023-09-27,Utilities & Rent,Comcast
144.97,Other,Cobaltbridge,Team lunch,2023-07-18,Other,Cobaltbridge
416.71,Travel & Transportation,Airbnb,Client meeting,2023-04-30,Travel & Transportation,Airbnb
652.32,Travel & Transportation,Southwest Airlines,Team lunch,2023-07-01,Travel & Transportation,Southwest Airlines
507.27,Office Supplies & Equipment,Target,Team lunch,2023-10-18,Office Supplies & Equipment,Target
364.16,Travel & Transportation,Lyft,Monthly subscription,2023-01-20,Travel & Transportation,Lyft
1111.43,Travel & Transportation,United Airlines,Monthly subscription,2023-06-15,Travel & Transportation,United Airlines
2350.69,Software & Technology,Netflix,Client meeting,2023-12-27,Software & Technology,Netflix
267.16,Office Supplies & Equipment,Target,Team lunch,2023-11-29,Office Supplies & Equipment,Target
1196.31,Utilities & Rent,Comcast,Business expense,2023-03-31,Utilities & Rent,Comcast
2813.3,Travel & Transportation,Enterprise Rent-a-car,Office supplies,2023-01-17,Travel & Transportation,Enterprise Rent-a-car
22.55,Other,Tridelic,Team lunch,2023-06-27,Other,Tridelic
1010.46,Software & Technology,Dropbox,Equipment purchase,2023-05-16,Software & Technology,Dropbox
9.65,Office Supplies & Equipment,Home Depot,Hardware services,2023-03-27,Office Supplies & Equipment,Home Depot
1386.52,Other,Cobaltbridge,Team lunch,2023-12-18,Other,Cobaltbridge
12.37,Software & Technology,Adobe,Client meeting,2023-03-24,Software & Technology,Adobe
278.26,Meals & Entertainment,Chipotle,Monthly subscription,2023-08-11,Meals & Entertainment,Chipotle
464.33,Travel & Transportation,Delta Airlines,Business expense,2023-05-16,Travel & Transportation,Delta Airlines
322.25,Office Supplies & Equipment,Amazon,Business expense,2023-08-07,Office Supplies & Equipment,Amazon
24.73,Other,Tridelic,Business expense,2023-08-31,Other,Tridelic
13.54,Other,Neopeak,Office supplies,2023-07-09,Other,Neopeak
513.19,Software & Technology,Adobe,Client meeting,2023-12-08,Software & Technology,Adobe
46.23,Utilities & Rent,AT&T,Hardware services,2023-09-25,Utilities & Rent,AT&T
444.63,Travel & Transportation,Southwest Airlines,Team lunch,2023-10-20,Travel & Transportation,Southwest Airlines
-1134.77,Professional Services,Walgreens,Equipment purchase,2023-02-10,Professional Services,Walgreens
12.55,Other,Nimblyx,Hardware services,2023-06-16,Other,Nimblyx
472.12,Other,Zetaflux Labs,Client meeting,2023-03-18,Other,Zetaflux Labs
2476.19,Other,Tridelic,Annual platform fee,2023-07-30,Other,Tridelic
219.4,Travel & Transportation,Hilton Hotels,Monthly subscription,2023-12-22,Travel & Transportation,Hilton Hotels
-75.26,Office Supplies & Equipment,Costco,Business expense,2023-05-06,Office Supplies & Equipment,Costco
889.98,Other,Quantacore,Client meeting,2023-05-18,Other,Quantacore
387.62,Travel & Transportation,Delta Airlines,Team lunch,2023-01-29,Travel & Transportation,Delta Airlines
-484.87,Banking & Finance,American Express,Monthly subscription,2023-04-09,Banking & Finance,American Express
64.59,Banking & Finance,Bank Of America,Monthly subscription,2023-07-23,Banking & Finance,Bank Of America
600.0,Banking & Finance,Chase Bank,Business expense,2023-05-13,Banking & Finance,Chase Bank
50.37,Office Supplies & Equipment,Amazon,Business expense,2023-12-13,Office Supplies & Equipment,Amazon
672.18,Banking & Finance,American Express,Business expense,2023-04-25,Banking & Finance,American Express
332.86,Meals & Entertainment,Domino's,Annual platform fee,2023-12-13,Meals & Entertainment,Domino's
2699.44,Software & Technology,Google,Business expense,2023-11-01,Software & Technology,Google
70.09,Software & Technology,Salesforce,Equipment purchase,2023-05-14,Software & Technology,Salesforce
1366.26,Travel & Transportation,Southwest Airlines,Monthly subscription,2023-06-13,Travel & Transportation,Southwest Airlines
779.21,Travel & Transportation,Enterprise Rent-a-car,Office supplies,2023-10-20,Travel & Transportation,Enterprise Rent-a-car
403.48,Travel & Transportation,United Airlines,Team lunch,2023-09-17,Travel & Transportation,United Airlines
839.87,Other,Solaranine,Client meeting,2023-04-04,Other,Solaranine
1395.07,Travel & Transportation,United Airlines,Hardware services,2023-10-27,Travel & Transportation,United Airlines
514.89,Other,Neopeak,Annual platform fee,2023-09-14,Other,Neopeak
125.49,Meals & Entertainment,Safeway,Office supplies,2023-08-23,Meals & Entertainment,Safeway
854.04,Other,Nimblyx,Hardware services,2023-01-30,Other,Nimblyx
24.57,Software & Technology,Spotify,Hardware services,2023-07-26,Software & Technology,Spotify
11.16,Software & Technology,Adobe,Monthly subscription,2023-09-29,Software & Technology,Adobe
59.76,Meals & Entertainment,Starbucks,Team lunch,2023-10-29,Meals & Entertainment,Starbucks
447.92,Software & Technology,Adobe,Office supplies,2023-12-18,Software & Technology,Adobe
9.18,Other,Neopeak,Monthly subscription,2023-03-09,Other,Neopeak
9.62,Software & Technology,Spotify,Monthly subscription,2023-10-01,Software & Technology,Spotify
8.64,Office Supplies & Equipment,Amazon,Client meeting,2023-08-16,Office Supplies & Equipment,Amazon
65.65,Banking & Finance,Wells Fargo,Team lunch,2023-09-24,Banking & Finance,Wells Fargo
59.46,Software & Technology,Salesforce,Equipment purchase,2023-04-12,Software & Technology,Salesforce
-230.57,Other,Solaranine,Hardware services,2023-09-12,Other,Solaranine
2504.5,Software & Technology,Google,Client meeting,2023-02-16,Software & Technology,Google
412.34,Software & Technology,Salesforce,Client meeting,2023-08-26,Software & Technology,Salesforce
703.37,Other,Zetaflux Labs,Monthly subscription,2023-02-18,Other,Zetaflux Labs
549.83,Other,Nimblyx,Team lunch,2023-10-07,Other,Nimblyx
1000.68,Meals & Entertainment,Whole Foods,Client meeting,2023-11-29,Meals & Entertainment,Whole Foods
12.66,Office Supplies & Equipment,Amazon,Team lunch,2023-10-19,Office Supplies & Equipment,Amazon
2617.05,Office Supplies & Equipment,Home Depot,Client meeting,2023-09-05,Office Supplies & Equipment,Home Depot
10.6,Other,Square,Equipment purchase,2023-10-23,Other,Square
519.15,Other,Cobaltbridge,Office supplies,2023-05-08,Other,Cobaltbridge
486.53,Meals & Entertainment,Domino's,Hardware services,2023-01-06,Meals & Entertainment,Domino's
147.19,Other,Square,Annual platform fee,2023-04-25,Other,Square
315.17,Travel & Transportation,Southwest Airlines,Hardware services,2023-06-11,Travel & Transportation,Southwest Airlines
2149.31,Software & Technology,Microsoft,Equipment purchase,2023-11-13,Software & Technology,Microsoft
10.94,Banking & Finance,Bank Of America,Hardware services,2023-06-19,Banking & Finance,Bank Of America
9.51,Office Supplies & Equipment,Best Buy,Office supplies,2023-05-30,Office Supplies & Equipment,Best Buy
2609.39,Software & Technology,Adobe,Equipment purchase,2023-02-24,Software & Technology,Adobe
-13.99,Meals & Entertainment,Whole Foods,Client meeting,2023-11-21,Meals & Entertainment,Whole Foods
387.61,Other,Neopeak,Annual platform fee,2023-09-29,Other,Neopeak
25.12,Other,Neopeak,Annual platform fee,2023-03-07,Other,Neopeak
239.66,Travel & Transportation,Airbnb,Business expense,2023-12-21,Travel & Transportation,Airbnb
21.17,Office Supplies & Equipment,Costco,Office supplies,2023-09-20,Office Supplies & Equipment,Costco
710.65,Utilities & Rent,Comcast,Office supplies,2023-12-30,Utilities & Rent,Comcast
792.22,Office Supplies & Equipment,Home Depot,Annual platform fee,2023-01-10,Office Supplies & Equipment,Home Depot
42.32,Other,Square,Team lunch,2023-05-27,Other,Square
13.44,Other,Arcadiaworks,Annual platform fee,2023-10-15,Other,Arcadiaworks
239.5,Travel & Transportation,Enterprise Rent-a-car,Monthly subscription,2023-12-17,Travel & Transportation,Enterprise Rent-a-car
790.99,Travel & Transportation,Hertz,Equipment purchase,2023-10-29,Travel & Transportation,Hertz
11.77,Other,Orionedge Systems,Annual platform fee,2023-09-21,Other,Orionedge Systems
9.48,Travel & Transportation,Budget,Team lunch,2023-03-21,Travel & Transportation,Budget
700.78,Other,Tridelic,Client meeting,2023-09-10,Other,Tridelic
378.93,Other,Cobaltbridge,Annual platform fee,2023-08-01,Other,Cobaltbridge
123.61,Travel & Transportation,United Airlines,Hardware services,2023-11-13,Travel & Transportation,United Airlines
770.66,Other,Square,Annual platform fee,2023-01-21,Other,Square
57.66,Other,Quantacore,Hardware services,2023-07-11,Other,Quantacore
11.69,Travel & Transportation,Enterprise Rent-a-car,Monthly subscription,2023-10-03,Travel & Transportation,Enterprise Rent-a-car
2586.27,Travel & Transportation,Delta Airlines,Annual platform fee,2023-04-16,Travel & Transportation,Delta Airlines
859.72,Software & Technology,Apple,Business expense,2023-01-28,Software & Technology,Apple
237.4,Travel & Transportation,Hilton Hotels,Monthly subscription,2023-10-08,Travel & Transportation,Hilton Hotels
513.48,Software & Technology,Slack,Office supplies,2023-01-24,Software & Technology,Slack
12.14,Other,Quantacore,Monthly subscription,2023-07-15,Other,Quantacore
1381.05,Utilities & Rent,AT&T,Business expense,2023-11-21,Utilities & Rent,AT&T
484.27,Meals & Entertainment,Domino's,Annual platform fee,2023-01-22,Meals & Entertainment,Domino's
863.02,Software & Technology,Dropbox,Team lunch,2023-11-27,Software & Technology,Dropbox
24.97,Travel & Transportation,United Airlines,Hardware services,2023-01-28,Travel & Transportation,United Airlines
927.32,Software & Technology,Apple,Equipment purchase,2023-07-02,Software & Technology,Apple
341.1,Meals & Entertainment,Chipotle,Team lunch,2023-12-22,Meals & Entertainment,Chipotle
20.22,Office Supplies & Equipment,Best Buy,Business expense,2023-04-24,Office Supplies & Equipment,Best Buy
355.61,Other,Nimblyx,Client meeting,2023-06-06,Other,Nimblyx
26.54,Travel & Transportation,Airbnb,Client meeting,2023-11-17,Travel & Transportation,Airbnb
574.08,Other,Solaranine,Business expense,2023-01-19,Other,Solaranine
124.84,Utilities & Rent,AT&T,Team lunch,2023-10-29,Utilities & Rent,AT&T
686.86,Banking & Finance,American Express,Team lunch,2023-11-11,Banking & Finance,American Express
2793.79,Travel & Transportation,Uber,Monthly subscription,2023-05-09,Travel & Transportation,Uber
10.5,Banking & Finance,Chase Bank,Hardware services,2023-07-04,Banking & Finance,Chase Bank
1032.67,Other,Zetaflux Labs,Team lunch,2023-05-21,Other,Zetaflux Labs
2139.71,Office Supplies & Equipment,Staples,Annual platform fee,2023-04-25,Office Supplies & Equipment,Staples
503.43,Office Supplies & Equipment,Home Depot,Equipment purchase,2023-08-14,Office Supplies & Equipment,Home Depot
629.42,Meals & Entertainment,Domino's,Office supplies,2023-04-28,Meals & Entertainment,Domino's
530.85,Banking & Finance,Wells Fargo,Monthly subscription,2023-01-12,Banking & Finance,Wells Fargo
528.3,Travel & Transportation,Marriott,Annual platform fee,2023-04-03,Travel & Transportation,Marriott
949.36,Travel & Transportation,Hilton Hotels,Hardware services,2023-02-13,Travel & Transportation,Hilton Hotels
527.56,Banking & Finance,Wells Fargo,Business expense,2023-04-04,Banking & Finance,Wells Fargo
11.94,Office Supplies & Equipment,Costco,Equipment purchase,2023-02-25,Office Supplies & Equipment,Costco
519.34,Banking & Finance,American Express,Monthly subscription,2023-11-11,Banking & Finance,American Express
662.59,Other,Solaranine,Annual platform fee,2023-01-01,Other,Solaranine
1243.3,Software & Technology,Adobe,Client meeting,2023-06-29,Software & Technology,Adobe
69.23,Travel & Transportation,Hertz,Monthly subscription,2023-05-12,Travel & Transportation,Hertz
257.04,Software & Technology,Google,Office supplies,2023-06-11,Software & Technology,Google
567.08,Professional Services,CVS Pharmacy,Equipment purchase,2023-12-15,Professional Services,CVS Pharmacy
433.21,Utilities & Rent,Comcast,Annual platform fee,2023-10-23,Utilities & Rent,Comcast
1027.46,Meals & Entertainment,Pizza Hut,Office supplies,2023-09-18,Meals & Entertainment,Pizza Hut
22.96,Other,Tridelic,Hardware services,2023-02-16,Other,Tridelic
508.96,Other,Square,Business expense,2023-07-25,Other,Square
306.83,Travel & Transportation,Airbnb,Equipment purchase,2023-09-23,Travel & Transportation,Airbnb
-532.31,Travel & Transportation,Airbnb,Team lunch,2023-05-03,Travel & Transportation,Airbnb
238.68,Travel & Transportation,Budget,Client meeting,2023-01-08,Travel & Transportation,Budget
2285.73,Utilities & Rent,Comcast,Annual platform fee,2023-04-10,Utilities & Rent,Comcast
408.46,Travel & Transportation,Hertz,Business expense,2023-09-20,Travel & Transportation,Hertz
1189.87,Office Supplies & Equipment,Staples,Monthly subscription,2023-12-15,Office Supplies & Equipment,Staples
47.91,Travel & Transportation,Hertz,Office supplies,2023-06-11,Travel & Transportation,Hertz
12.6,Software & Technology,Google,Team lunch,2023-06-25,Software & Technology,Google
385.2,Office Supplies & Equipment,Home Depot,Equipment purchase,2023-04-05,Office Supplies & Equipment,Home Depot
1102.51,Travel & Transportation,Southwest Airlines,Monthly subscription,2023-12-13,Travel & Transportation,Southwest Airlines
133.67,Other,Solaranine,Hardware services,2023-10-22,Other,Solaranine
20.57,Banking & Finance,American Express,Monthly subscription,2023-09-02,Banking & Finance,American Express
411.03,Meals & Entertainment,Whole Foods,Monthly subscription,2023-08-24,Meals & Entertainment,Whole Foods
655.04,Travel & Transportation,Delta Airlines,Business expense,2023-05-15,Travel & Transportation,Delta Airlines
44.4,Meals & Entertainment,Chipotle,Business expense,2023-07-06,Meals & Entertainment,Chipotle
2155.9,Travel & Transportation,Hilton Hotels,Annual platform fee,2023-05-01,Travel & Transportation,Hilton Hotels
23.19,Other,Orionedge Systems,Office supplies,2023-11-19,Other,Orionedge Systems
813.98,Other,Arcadiaworks,Client meeting,2023-05-11,Other,Arcadiaworks
-1159.14,Office Supplies & Equipment,Costco,Equipment purchase,2023-04-03,Office Supplies & Equipment,Costco
122.23,Meals & Entertainment,Domino's,Annual platform fee,2023-08-17,Meals & Entertainment,Domino's
814.04,Banking & Finance,Bank Of America,Annual platform fee,2023-11-20,Banking & Finance,Bank Of America
698.59,Other,Square,Business expense,2023-11-27,Other,Square
350.34,Other,Cobaltbridge,Equipment purchase,2023-01-12,Other,Cobaltbridge
-364.85,Software & Technology,Dropbox,Client meeting,2023-07-23,Software & Technology,Dropbox
231.6,Meals & Entertainment,Chipotle,Team lunch,2023-05-26,Meals & Entertainment,Chipotle
143.1,Software & Technology,Spotify,Hardware services,2023-04-10,Software & Technology,Spotify
942.33,Utilities & Rent,AT&T,Business expense,2023-09-26,Utilities & Rent,AT&T
338.89,Other,Neopeak,Monthly subscription,2023-03-21,Other,Neopeak
10.55,Software & Technology,Zoom,Monthly subscription,2023-02-09,Software & Technology,Zoom
418.83,Other,Arcadiaworks,Annual platform fee,2023-10-15,Other,Arcadiaworks
58.76,Meals & Entertainment,Domino's,Business expense,2023-09-22,Meals & Entertainment,Domino's
2132.82,Utilities & Rent,AT&T,Hardware services,2023-02-26,Utilities & Rent,AT&T
20.54,Meals & Entertainment,Chipotle,Business expense,2023-04-06,Meals & Entertainment,Chipotle
9.97,Professional Services,Walgreens,Office supplies,2023-06-09,Professional Services,Walgreens
20.59,Software & Technology,Adobe,Hardware services,2023-02-06,Software & Technology,Adobe
14.84,Travel & Transportation,Hertz,Equipment purchase,2023-07-17,Travel & Transportation,Hertz
457.01,Software & Technology,Adobe,Office supplies,2023-07-19,Software & Technology,Adobe
12.03,Software & Technology,Adobe,Monthly subscription,2023-12-04,Software & Technology,Adobe
110.23,Other,Orionedge Systems,Annual platform fee,2023-10-27,Other,Orionedge Systems
898.71,Other,Zetaflux Labs,Equipment purchase,2023-07-10,Other,Zetaflux Labs
1296.92,Software & Technology,Dropbox,Client meeting,2023-11-27,Software & Technology,Dropbox
802.63,Travel & Transportation,United Airlines,Monthly subscription,2023-08-13,Travel & Transportation,United Airlines
381.91,Office Supplies & Equipment,Home Depot,Equipment purchase,2023-10-05,Office Supplies & Equipment,Home Depot
74.67,Utilities & Rent,AT&T,Client meeting,2023-10-11,Utilities & Rent,AT&T
305.75,Professional Services,Walgreens,Monthly subscription,2023-07-14,Professional Services,Walgreens
849.68,Office Supplies & Equipment,Best Buy,Hardware services,2023-04-08,Office Supplies & Equipment,Best Buy
705.45,Other,Nimblyx,Monthly subscription,2023-12-04,Other,Nimblyx
40.02,Other,Nimblyx,Business expense,2023-07-18,Other,Nimblyx
743.32,Travel & Transportation,United Airlines,Monthly subscription,2023-02-10,Travel & Transportation,United Airlines
10.96,Meals & Entertainment,Safeway,Business expense,2023-01-21,Meals & Entertainment,Safeway
420.35,Travel & Transportation,Delta Airlines,Team lunch,2023-12-03,Travel & Transportation,Delta Airlines
736.01,Utilities & Rent,Comcast,Team lunch,2023-02-23,Utilities & Rent,Comcast
144.58,Banking & Finance,American Express,Annual platform fee,2023-06-16,Banking & Finance,American Express
46.36,Other,Kitewave,Office supplies,2023-09-10,Other,Kitewave
69.18,Other,Neopeak,Business expense,2023-06-04,Other,Neopeak
436.8,Other,Orionedge Systems,Client meeting,2023-10-20,Other,Orionedge Systems
546.56,Office Supplies & Equipment,Home Depot,Annual platform fee,2023-06-03,Office Supplies & Equipment,Home Depot
1243.45,Travel & Transportation,Delta Airlines,Client meeting,2023-12-20,Travel & Transportation,Delta Airlines
1083.47,Office Supplies & Equipment,Walmart,Annual platform fee,2023-06-28,Office Supplies & Equipment,Walmart
807.26,Software & Technology,Quantacore,Monthly subscription,2023-06-06,Software & Technology,Quantacore
20.55,Travel & Transportation,Hilton Hotels,Client meeting,2023-07-21,Travel & Transportation,Hilton Hotels
